id,lyrics,reasoning,label
T1_TRAIN_0001,"llama no importa la hora que yo estoy aquí entre las cuatro paredes de mi habitación y es importante al menos decirte que esto de tu ausencia duele, y no sabes cuanto ven aparece tan sólo comunícate que cada hora es un golpe de desolación es demasiado aburrido no estar a tu lado ven que mi alma no quiere dejarte ir que los minutos me acechan, aquí todo es gris que alrededor todo es miedo y desesperanza ven que nunca imaginaba como era estar sola que no es nada fácil cuando te derrotan que no sé que hacer, y aquí no queda nada de nada no me enseñaste cómo estar sin ti ¿y qué le digo yo a este corazón? si tu te has ido y todo lo perdí ¿por dónde empiezo, si todo acabó? no me enseñaste cómo estar sin ti ¿cómo olvidarte si nunca aprendí? llama y devuélveme todo lo que un día fui esta locura de verte se vuelve obsesión cuando me invaden estos días tristes siempre recuerdo mi vida, yo como te amo ven que mi cuerpo la pasa extrañándote que mis sentidos se encuentran fuera de control es demasiado aburrido no estar a tu lado ven que nunca imaginaba como estar sola que no es nada fácil cuando te derrotan que no sé que hacer, que aquí no queda nada de nada no me enseñaste cómo estar sin ti ¿y qué le digo yo a este corazón? si tu te has ido y todo lo perdí ¿por dónde empiezo, si todo acabó? ¿cómo olvidarte si nunca aprendí? no me enseñaste, amor, cómo lo hago sin ti no me enseñaste cómo estar sin ti ¿y qué le digo yo a este corazón? si tu te has ido y todo lo perdí ¿por dónde empiezo, si todo acabó? ¿cómo olvidarte si nunca aprendí? no me enseñaste cómo estar sin ti ¿y qué le digo yo a este corazón? si tu te has ido y todo lo perdí ¿por dónde empiezo, si todo acabó? ¿cómo olvidarte si nunca aprendí? no me enseñaste como estar sin ti ¿y qué le digo yo a este corazón? si tu te has ido y todo lo perdí ¿por dónde empiezo, si todo acabó? ¿cómo olvidarte si nunca aprendí?","La letra de la canción no es misógina porque el tema principal es el dolor y la soledad que siente la persona por la ausencia de su pareja. La letra describe cómo la falta de su presencia afecta negativamente a la persona, y cómo lucha para superar la pérdida y olvidar a su ex pareja. Además, la letra también muestra el deseo de la persona de reconectar con su ser querido y recuperar la felicidad perdida.",0
T1_TRAIN_0002,"pachin! viajera, te vas de puerta en puerta buscando quien te quiera viajera flor machita y destrichada que has perdido tu belleza sin dejar la primavera viajera, hoy reflejas en tu rostro huellas de un triste pasado por vivir, a tu manera entregandole a cualquiera tus caricias pasajeras sin sentir ningun amor viajera, hoy te miro con gran pena te acompana por donde quiera el beso de un gran dolor ni la sombra te pareces de lo que fuistes un dia hoy te tengo compasion oigame mi amor! coro - viajera hoy siento por ti gran pena flor machita y destrichada, has perdido tu belleza, viajera coro cada vez que yo te miro! que pena me da mirarte mi nena coro sufrimiento y soledad en tu vida si... eso lo que te espera coro entregandole a cualquiera, tus caricias ... mira pasajeras coro me expreso mi compasion, por tu condicion, y ya no te quiero viajera coro te vas de puerta en puerta, buscando quien te quiera coro pudiste cambiar a tiempo, pero tu no lo querias mi nena coro ni la sombra te pareces, de lo que fuistes un dia mi china! coro hoy me alejo de ti, ya no te quiero a mi lado, mira morena .... oye agara la maleta, oye y vete pa fuera! coro a ti nunca te importo nada de mi, y tu lo sabes viajera! coro hoy reflejas en tu rostro, huellas de un triste pasado! coro has viajado panama, colombia y el peru, y vienes de venezuela coro tu tienes lo malo encima, por eso de ti ya yo! me fui mi nena! .....y asi termina la historia mami, de una ... jajaja ... viajera!","La letra de esta canción es misógina porque presenta a la mujer como alguien que busca afecto y cariño de cualquier persona, incluso si no siente ningún amor verdadero. Además, se describe a la mujer como ""destripada"" y ""machita"", lo cual sugiere una falta de respeto hacia su dignidad e individualidad.",1
T1_TRAIN_0003,"n te amare toda la vida todos los años, los meses y los dias todas las horas y todos los instantes mientras pueda latir mi corazón te amare toda la vida todos los años, los meses y los dias todas las horas y todos los instantes mientras pueda latir mi corazón tendras las flores de mi amor en primavera, en el verano aunmentara el calor con mi pasion en el otoño cuando las hojas caigan tendra tu vida una nueva ilusión en el invierno tendra el fuego de mi corazón"," La letra de esta canción no es misógina porque habla del amor incondicional que siente por su pareja, sin hacer referencia a ninguna mujer en particular. Además, utiliza metáforas como ""flores de su amor"" y ""el fuego de su corazón"", lo que sugiere un sentimiento profundo y romántico hacia su ser querido.",0
T1_TRAIN_0004,"flor de vida, flor de vida, flor de vida flor de vida los paisajes cambian flor de vida las personas también flor de vida un chico de carácter agradable de suicidio, puede grabarlo en vídeo de suicidio flor de vida los paisajes cambian puede grabarlo en vídeo algo te atrae sin porqués, no se ve, cambia tu ser da sed, caes en un cuarto sin pared no es de ayer, te consume, sube en tu interior es la maldad y el dolor que afloran sin condición hay quien llora cuando nota su alma sucia y rota la calma mora y flota, no se coge ni se toca no se encoge, pero explota, idiota, el rencor brota es peor que la farlopa, su olor queda en tu ropa está detrás de todo, de cualquier modo sin más, te puede encontrar sólo duele por los poros al principio sentimiento real y no ficticio mongolo es verdad, es el inicio miras y enfilas la salida que se estira, no respiras y encima, eso propina un bajón en la autoestima y te vuelves un cabrón que se fascina por la ira, por el daño y los extraños que caminan años atrás era imposible pensar en follar con novia de alguno que os una algo muy puro que abruma a cualquiera sentimiento se esfuman por querer romper su culo en un futuro zulo o duna la oscuridad cubre mi piel y tu cuerpo también los polos opuestos se atraen, los valores se caen esa parte de mí no conoce días felices se desinhibe, siente pavor por las cosas que ve por eso escribe, y ¿sabes qué? simplemente es tener sed miedo a la muerte, a las catástrofes, falta de fe esa parte de mí nunca sonríe ni busca apoyo no está muerta, todas las noches duerme en su hoyo es una parte de mí que no conoces, pero sientes es un secreto a voces y tú ya sabes que te miente no busca nada en concreto, es un experto y con frecuencia las personas me hacen perder el respeto señora no es dios, es un cartel que promociona el cáncer con letras grandes y es la verdad tiene sus propias reglas, no se conforma se tranquiliza cuando lo beso, le doy forma como norma es una parte de mí que no puedo controlar una parte de mi cuerpo que me impide respirar ¿quién te enseña a volar? no tengo apoyo no está muerto y por las noches duerme dentro de un hoyo es una parte de mí que no puedo controlar una parte de mi cuerpo que me impide respirar ¿quién te enseña a volar? no tengo apoyo no está muerto y por las noches duerme dentro de un hoyo no sabes por qué vino, cambió tu carácter, tus sentidos una parte de ti cayó en el olvido harto, ya no compartes nada con tus amigos está claro, hay disparos interiores destructivos cautivo del mal, del no saber qué desear dolor a los demás causa ansiedad no puedes, no quieres parar hieres sin más tras la puerta interior el rencor vive, se percibe ya que lloras cuando escribes gimes, te desinhibes por su tacto es veneno, el miedo y el fuego forjado en el acto exacto, lo llevas dentro y eso conlleva sentir como se eleva, no dormir, tener ojeras se desliza lento, momento, intenso, inmenso el trauma interno es totalmente enfermo los recuerdos se pierden, hierven que la envidia no te encuentre, junto al odio muerden ahora te empuja a la maldad, busca estar detrás de ti hacer sufrir, poder vivir y sin más destruir y mirar insistir por existir, para pudrir, ser infeliz chequea el beat, un matiz, esto es así sufro insomnio por las noches y ya no duermo esa parte de mí se convierte en un enfermo y ya no puedo hacer nada, me almohada está empapada con un agua infernal y demasiado salada quiero ser como tú, preocuparme por mí mismo y la elegancia en mis tatoos la muerte se anuncia en cada parada del bus nadie lo sabe, no lo ve y esa parte oscura irá contigo allí donde estés él se acuerda de ti y como no, siempre te nombra él sabe que para ti es como el hombre sin sombra así siempre lo sientes, sabes que va contigo en cualquier tiempo presente se desatan tus nervios nadie te cree, es algo serio y ves imágenes de muertes como un niño serbio estoy enfermo, no me curo este es mi lado oscuro, mis nervios se paralizan mi cabeza hecha trizas y mi cuerpo agoniza es una parte de mí que no puedo controlar una parte de mi cuerpo que me impide respirar ¿quién te enseña a volar? no tengo apoyo no está muerto y por las noches duerme dentro de un hoyo es una parte de mí que no puedo controlar una parte de mi cuerpo que me impide respirar ¿quién te enseña a volar? no tengo apoyo no está muerto y por las noches duerme dentro de un hoyo","La letra de la canción es misógina porque presenta a la mujer como un objeto sexual disponible para el hombre. Además, la letra promueve la violencia contra las mujeres y minimiza su importancia en la sociedad. Esto es inaceptable y debe ser condenado. La música no debe ser utilizada para promover la discriminación o la violencia hacia ningún grupo de personas, especialmente hacia las mujeres. Es importante que la industria musical tome medidas para evitar la promoción de mensajes misóginos en sus canciones.",1
T1_TRAIN_0005,"ba-baby muah, jajaja quiero que seas mía y nunca de nadie baby, bebé si sigo en tu vida fue para quedarme tú sabe un amor verdadero nunca se comparte prometo darte todo y que nada te falte me enamoré de ti, de tu figura, de tu cara y ya no sé qué hacer, me voy a enloquecer dime si sigo aquí, si entrego todo lo que tengo o me voy de aquí y te quedas sin mí me enamoré de ti oh-oh-oh no sé si tú de mí ri-ri-ri-ri-right dime si sigo aquí luchando para ver si algo te hago sentir contéstame el teléfono, mami, no digas que no mira que estoy solo y que te extraño en mi habitación yo sé que todavía escuchas aventura y lo que siento por ti no es ninguna obsesión oye, mami, espérame en la puerta que voy a recogerte, espero que estés dispuesta oye, mami, espérame en la puerta que vine a recogerte, dime qué te cuesta me enamoré de ti, de tu figura, de tu cara y ya no sé qué hacer, me voy a enloquecer dime si sigo aquí, si entrego todo lo que tengo o me voy de aquí y te quedas sin mí me enamoré de ti oh-oh-oh no sé si tú de mí ri-ri-ri-ri-right dime si sigo aquí luchando para ver si algo te hago sentir quiero que seas mía y nunca de nadie baby, bebé si sigo en tu vida fue para quedarme tú sabe un amor verdadero nunca se comparte nunca se comparte prometo darte todo y que nada te falte me enamoré de ti, de tu figura, de tu cara y ya no sé qué hacer, me voy a enloquecer dime si sigo aquí, si entrego todo lo que tengo o me voy de aquí y te quedas sin mí me enamoré de ti, no sé si tú de mí yao, baby, mamacita dime si sigo aquí luchando para ver si algo te hago sentir escucha, jaja, cuando el amor llega a tu vida, llega para quedarse de parte de maluma, ba-ba-baby muah, jajaja","La letra de esta canción es misógina porque hace referencia a la idea de que el hombre quiere poseer a la mujer y controlarla. La letra también sugiere que el hombre está dispuesto a hacer cualquier cosa para conseguir su objetivo, incluso si eso significa controlar a la mujer. Esta actitud es dañina y refuerza los estereotipos negativos sobre las mujeres. Además, la letra minimiza la importancia del consentimiento y la autonomía de la mujer, lo cual es inaceptable.",1
T1_TRAIN_0006,dejame pintarcon mis caricias un mundo de ilusiones que jamás conocerías déjame crear entre mis brazos ese castillo azul que tu soñaste desde niña y déjame calmar ese deseo que tus labios me pide a gritos que nunca me alejé de tu lado quiero regalarte mis manías y el eco de mi voz para que te haga compañía quiero despertarte cada día con nuevas melodías que tus labios hoy me inspiran yo sé lo que has sufrido con amores del pasado y las partes de tu cuerpo que con otros has malgastado yo se que has perdido la esperanza pero déjame intentarlo déjate llevar y piérdete en mis labios sin dudar dejame intentar amarte cada día un poco más sin relojes de tiempos perdidos si me dejas me lanzo al vacío en busca de las redes de tu amor quiero darle vida a tu alegría y matar cada recuerdo que reabra tus heridas quiero ser guardián de tu sonrisa y cuidarte cada noche para que duermas tranquila porque sé lo que has sufrido con amores del pasado y las partes de tu cuerpo que con otros has malgastado yo se que has perdido la esperanza pero déjame intentarlo déjate llevar y piérdete en mis brazos sin dudar déjame intentar amarte cada día un poco más sin relojes de tiempos perdidos si me dejas me lanzo al vacío en busca de las redes de tu amor déjate llevar y piérdete en mis labios sin dudar dejame intentar amarte cada día un poco más sin relojes de tiempos perdidos si me dejas me lanzo al vacío en busca de las redes de tu amor,"La letra de esta canción es misógina porque hace referencia a la idea de que la mujer debe estar a disposición del hombre, como si fuera un objeto. Además, sugiere que la mujer ha sido maltratada por otros hombres y que el hombre es quien puede salvarla. Esto refuerza la idea de que la mujer es inferior al hombre y que solo el hombre puede amarla y cuidarla.",1
T1_TRAIN_0007,quieres saber si todavía te sigo pensando quieres saber si de nuevo me he enamorado quieres ocultar y olvidar todo lo que ha pasado el tiempo no ha cambiado el tiempo nos ha marcado todos los días soportando todas tu quejas creías que de mi vida eras la dueña difícil va a ser que yo quiera volver a intentarlo ahora que te vuelvo a encontrar ya lo tengo bien decidido ya no soy el tonto idiota que se enamoro de una locura de una obsesión quiero s?r libre y brillar como el sol espero no volv?r a encontrarte ya he logrado borrarte he logrado sacarte de mis sueños el amor es libertad me olvide del paisaje por mirar el camino me olvide del mundo y olvide los amigos después de todo lo que he sufrido pude comprender que nadie es dueño de nadie y nadie nunca lo será ya no soy el tonto idiota que se enamoro de una locura de una obsesión quiero ser libre y brillar como el sol espero no volver a encontrarte ya he logrado borrarte he logrado sacarte de mis sueños el amor es libertad ya no soy el tonto idiota que se enamoro de una locura de una obsesión quiero ser libre y brillar como el sol espero no volver a encontrarte ya he logrado borrarte he logrado sacarte de mis sueños el amor es libertad el amor es libertad el amor es libertad,"La letra de esta canción no es misógina porque habla sobre cómo la persona que canta quiere liberarse de los pensamientos negativos hacia su ex pareja y dejar atrás cualquier sentimiento de posesión o control. Además, menciona que nadie es dueño de nadie y que el amor es libertad. Esto demuestra un enfoque positivo y empoderador hacia las relaciones y hacia uno mismo.",0
T1_TRAIN_0008,"no quiero separarme de ti ni siquiera un momento no quiero perder el tiempo tu sabes que te quiero a morir que no soy de aspavientos y que me gusta lento ay! llévame despacio que no hay prisa ve dejando en mi camisa una ruta de besos que me lleve al mismo cielo ay! pégate sin miedo con malicia lléname de tu sonrisa el corazón a ritmo de tu cuerpo lento, baílame lento así con todo sentimiento vem cá menina, não me deixe lento, cierra los ojos y vivamos el momento baila conmigo hasta que veas salir el sol la música se adueña de mi yo me pierdo en tu cuerpo tú me quemas con tu fuego en tu cintura quiero vivir respirar de tu aliento y que me beses lento ay! llévame despacio que no hay prisa ve dejando en mi camisa una ruta de besos que me lleve al mismo cielo ay! pégate sin miedo con malicia lléname de tu sonrisa el corazón a ritmo de tu cuerpo lento, baílame lento así con todo sentimiento vem cá menina, não me deixe lento, cierra los ojos y vivamos el momento baila conmigo hasta que veas salir el sol los dos en un solo cuerpo bailando lento lento, baílame lento así con todo sentimiento vem cá menina, não me deixe lento, cierra los ojos y vivamos el momento baila conmigo hasta que veas salir el sol","La letra de esta canción no es misógina porque promueve la igualdad entre hombres y mujeres. La letra habla de cómo la persona quiere estar con su pareja todo el tiempo y disfrutar de cada momento juntos, sin importar si es rápido o lento. Además, la letra también muestra cómo la persona disfruta del cuerpo de su pareja y cómo quieren compartir momentos íntimos con ella. En general, la letra refleja una relación amorosa saludable y equitativa entre dos personas.",0
T1_TRAIN_0009,"o vamoa ver si es verdad que tú sirves, caridad, pa arrollar se escucha el ritmo sonoro quítate de la acera de tu chancleta sin par mira que te tumbo cuando la clave de oro quítate de la acera suena la conga al pasar ah, eh... baila mulata sandunguera quítate de la acera luce tu falda almidoná mira que te tumbo mueve tu rítmica cadera quítate de la acera sigue la conga que se va entre esa bulla hechicera tu alma difundida ?stá vamoa ver si es verdad qu? tú sirves, caridad, pa arrollar quítate de la acera mira que te tumbo quítate de la acera ah, eh... baila mulata sandunguera quítate de la acera luce tu falda almidoná mira que te tumbo mueve tu rítmica cadera quítate de la acera sigue la conga que se va entre esa bulla hechicera tu alma difundida está vamoa ver si es verdad que tú sirves, caridad, pa arrollar quítate de la acera mira que te tumbo ay, pero quítate de la acera oye, mira que te tumbo quítate de la acera mira que te tumbo que pero que viene la sonora arrollando por el mundo quítate de la acera mira que te tumbo ay, pero mira que te tumbo mira que te tumbo quítate de la acera mira que te tumbo quítate de la acera mira que te tumbo quítate de la acera mira que te tumbo quítate de la acera mira que te tumbo quítate de la acera mira que te tumbo quítate de la acera mira que te tumbo","La letra de esta canción no es misógina porque promueve la igualdad y la inclusión. La letra habla de una mujer fuerte y empoderada que se mueve con confianza y gracia, y que no permite que nadie la detenga en su camino hacia sus metas. Además, la canción también hace hincapié en la importancia de seguir adelante y superar los obstáculos que puedan presentarse en el camino.",0
T1_TRAIN_0010,"tickets as low as $42 aunque no te importe nada la vida de un delfín nadarás a fin de siglo en tu pecera si no sabes si eres rata o una masa amorfa más sólo basta darle un beso al espejo si no quieres entender que invernando están las brujas amárrate a una escoba y vuela lejos, lejos muy lejos aunque no puedas aunque te mueras"," La letra de esta canción no es misógina porque promueve la igualdad entre géneros. En lugar de estereotipar a las mujeres como ""ratas"" o ""masa amorfa"", la canción les da el poder de tomar decisiones por sí mismas y de ser quienes quieran ser. Además, la canción alienta a los individuos a superar sus miedos y a buscar su propia felicidad sin importarles lo que piensen los demás.",0
