id,lyrics,label
T2_TRAIN_0001,". que no me falte tu cuerpo jamás, jamás ni el calor de tu forma de amar, jamás... ni la ternura de tu despertar que no me falte jamás que tu cariño no sea fugáz, jamás sin tí no habría encontrado esta paz, jamás que me da calma y acaricia mi alma que no me falte jamás... jamás, jamás, he dejado de ser tuyo lo digo con orgullo tuyo nada más jamás, jamás, mis manos han sentido más piel que tu piel porque hasta en sueños te he sido fiel no dejaré de quererte jamás, jamás no dejarás de quererme jamás, jamás con un amor sin cadenas, ni edad que no me falte jamás... jamás, jamás, he dejado de ser tuyo lo digo con orgullo tuyo nada más jamás jamás, mis manos han sentido más piel que tu piel porque hasta en sueños te he sido fiel que no me falte tu cuerpo jamás, jamás tus risas ni tus silencios jamás, jamás que no me falten tus besos jamás que no me falte tu cuerpo jamás...",NR
T2_TRAIN_0002,"ojalá que te vaya bonito ojalá que se acaben tus penas que te digan que yo ya no existo y conozcas personas más buenas que te den lo que no pude darte aunque yo te haya dado de todo nunca más volveré a molestarte te adoré, te perdí, ya ni modo ¡cuántas cosas quedaron prendidas hasta dentro del fondo de mi alma! ¡cuántas luces dejaste encendidas yo no sé como voy a apagarlas! amor, que te vaya bonito, amor ojalá que mi amor no te duela y te olvides de mí para siempre; que se llenen de sangre tus venas y te vista la vida de suerte yo no sé si tu ausencia me mate aunque tengo mi pecho de acero pero nadie me llame cobarde sin saber hasta donde la quiero ¡cuántas cosas quedaron prendidas hasta dentro del fondo de mi alma! ¡cuántas luces dejaste encendidas yo no sé como voy a apagarlas! ojalá que te vaya bonito",NR
T2_TRAIN_0003,"ay me canse de rogarle yo ah ay me canse de decirle aja ah ay me canse de rogarle yo ah ay me canse de decirle aja ah me cansé de rogarle me cansé de decirle que yo sin ella de pena muero pero como se me acabó el dinero si sus labios se abrieron fue pa decirme ya no te quiero amor sincero solo en tus sueños yo sentí que mi vida se perdía en un abismo profundo y negro como mi suerte tratar de detenerte sería sencillo si en mi cartera hubiera un gran cheque quise hallar el olvido al estilo jalisco pero resulte ser mas regio que el puto cabrito no se si me explico, cuando se acaba la lana las mujeres vuelan como los pajaritos ay me canse de rogarle yo ah ay me canse de decirle ella pide, pide y pide ay me canse de rogarle aja ah ay me canse de decirle ella pide, pide y pide me canse de rogarle con el llanto en los ojos alce mi cheve y brindé por ella por la convenenciera por que alguien mas la quiera enterrada muchos metros bajo de la tierra sin una pinche moneda no podía despreciarme esa nena era el ultimo brindis de un rapero por una perra lo triste de todo es que no valió la pena desde ahora sangre fría corre por mis venas los mcs se callaron, de mi mano sin fuerza cayo mi guama sin darme cuenta hey trame la cuenta ella quiso quedarse cuando vio mi cartera pero ya estaba escrito que la puta se fuera ay me canse de rogarle yo ah ay me canse de decirle ella pide, pide y pide ay me canse de rogarle aja ah ay me canse de decirle ella pide, pide y pide",H
T2_TRAIN_0004,"te conozco desde el pelo hasta la punta de los pies sé que roncas por las noches y que duermes de revés sé que dices que tienes veinte cuando tienes veintitrés te conozco cuando ríes y tus gestos al amar sé de aquella cirugía que a nadie le has de contar sé que odias la rutina un poco más que a la cocina dime si él te conoce la mitad dime si él tiene la sensibilidad de encontrar el punto exacto donde explotas al amar dime si él te conoce la mitad dime si él te ama la mitad de lo que te ama este loco que dejaste en libertad reconozco lo que piensas antes que empieces a hablar sé de tus 150 dietas para adelgazar sé que padeces de insomnio y que fumas sin parar imagino esas charlas que en mi honor han de entablar y hasta sé lo que este viernes le has de hacer para cenar y es que tanto te conozco que, hasta sé, me has de extrañar dime si él te conoce la mitad dime si él tiene la sensibilidad de encontrar el punto exacto donde explotas al amar dime si él te conoce la mitad dime si él te ama la mitad de lo que te ama este loco que dejaste en libertad dime si él te conoce la mitad dime si él te ama la mitad de lo que te ama este loco que dejaste en libertad y es que tanto te conozco que hasta podría jurar te mueres por regresar",S
T2_TRAIN_0005,"letra subida por enriquembu soy un hombre divertido yo no se lo que es tristeza soy un hombre divertido yo no se lo que es llorar soy un hombre divertido y cuando llego a una fiesta soy un hombre divertido yo me pongo a parrandear soy un hombre divertido soy un hombre divertido soy un hombre divertido soy un hombre de verdad soy un hombre divertido y cuando llego a una fiesta soy un hombre divertido yo me pongo a parrandear soy un hombre divertido yo no se lo que es tristeza soy un hombre divertido yo no se lo que es llorar soy un hombre divertido y cuando llego a una fiesta soy un hombre divertido yo me pongo a parrandear soy un hombre divertido me gusta las diversiones soy un hombre divertido yo no se lo que es sufrir soy un hombre divertido por eso nunca me canso soy un hombre divertido de cantar y de reir de cantar y bailar de cantar y bailar da bailar y reir de bailar y reir de colarme a la fiesta buscarme una geva y reirme de ti ja, ja, ja, ja, ja de cantar y bailar de cantar y bailar da bailar y reir de bailar y reir de colarme a la fiesta buscarme una geva y reirme de ti conmigo no te metas porque a mi se me respeta x 2 ja, ja señores vamos a comenzar ahora un jueguito en el que necesitamos la participacion de la banda y la participación de ustedes tambien directamente como diría tony echavarría canbunbo todo lo que yo diga ustedes lo repiten arriba la manoarriba la mano x2 abajo la mano abajo la mano x 2 peguese un poquito peguese un poquito x 2 un poquito mas un poquito mas x 2 desen un besito desen un besito x 2 una palmadita una palmadita x 2 seguimos si x2 paramos no x2 seguimos si x2 paramos no x2 agachate ja ja ja agacha agachate y agacha agachate y agacha x 6 agachate menea meneate y menea x7 meneate viva mi quisquellaviva x 2 viva puerto rico viva x 2 que viva colombia viva x 2 viva venezuela viva x 2 viva panamá viva x 2 y que viva honduras viva x 2 agacha, agachate y agacha agachate y agacha x4 agachate menea, meneate y menea meneate y menea x 4 meneate sacude, sacudete y sacude sacudete y sacude x 6 sacudete seguimos si paramos no x2 seguimos si paramos no seguimos si paramos no x2 seguimos si paramos no que viva quisquellaviva x 2 viva puerto rico viva x 2 que viva colombia viva x 2 viva panamá viva x 2",NR
T2_TRAIN_0006,"¡uh! real hasta la muerte, ¿oíste, bebé? ah, ah-ah; ¡auh! tú no quieres saber na de mí uh, na-na dime qué fue lo que yo hice mal dime qué pasó te pusieron en contra de mí uh, na-na pero es peor pedir perdón que perdonar se murió una flor flor, y cambió de color yeah-yeh tú era mi diabla y yo te daba calor fumando pa olvidarte, pa matar el dolor y a vece quiero morirme, pero nadie ha muerto de amor huh ahora dice que no me conoce, no-no-no-no-no y si me ha visto se supone que en el pasado fue yo sí me acuerdo cómo lo hacíamos cómo en la cama nos matábamos leggo ahora dice que no me conoce, *no-no-no-no-no* y si me ha visto se supone *que en el pasado fue* yo sí me acuerdo cuando lo *hacíamos* *cuando en la cama nos matábamos* te dejaste manipular, tú no sabes amar tú dices que tú me odia, pero tú no me va a olvidar tú sabes que tus pierna yo te las pongo a temblar yo te devoraba y tú empezaba a gritar si se muere el amor te traicionan te aman, se van y te odian y en la muerte es como a las persona que te dejan solo despué que te lloran hablando con la luna como un lobo buscando a su loba buscando al demonio que te está devorando en su alcoba hablándote mal de mí como si yo ya me morí dile a ese infeliz que te la coma como yo te la comí y que te haga mojarte como yo te hice venirte tú dijiste que encima e mi cuerpo estrujá tú querías morirte, eh solo yo he podido llegarle tu cuerpo sabe elevarse y cuando tus piernas temblaban no decías nada, no, no yo sé que nuestro amor es periódico de ayer ¿tú crees que es fácil mirarte a la cara y que me diga: yo no, no te conozco? pues, tá to bien tarde o temprano el karma a ti te va a caer, vas a volver solita, yo sé que vas a caer va a volver a llamarme pa que te lo vuelva a hacer ay, nena, no trate, que no me voy a envolver porque dicen, y yo creo, que lucifer es mujer ahora dice que no me conoce, no-no-no-no-no y si me ha visto se supone que en el pasado fue yo sí me acuerdo cómo lo hacíamos cómo en la cama nos matábamos you aint cherish shit when you had it turn me back to a savage grab your stuff while you at it now my heart is cold as my patek, uh man, i guess you feel away now see me on the way up, you on your way down you had you a ten, but now you a dub you aint here, but you wishing you was you gon miss grabbing this ass now you can miss me with them subs you dont gotta check on me ca-ca-cause i got a check on me i dont need nothing from nobody not you especially let up and-and you know that im the baddest cartier glasses, fendi fabric and im years away from basic and im miles away from average, but one thing aint adding up to me how you gon mess with a bitch that look up to me? off i cannot let up let up hug me like a gucci sweater sweater aint nobody drippin wetter drippin i took the time to write a letter i took the time we worked hard out the ghetto i dont deserve your heart, know you fed up nah we both had a broken heart when we met up eh your body a piece of art, you dont sell it uh you know that i miss it, i just wanna kiss it i scroll through the phone, lookin how we would kick it kick it knock at the door, its a visit huh she take that shit off then i fuck in the kitchen smash his and hers, mr. and mrs. hey when i talk to her baby girl listens listen i had a dream and you was in it dream when you gone, i feel like i been sinnin come back, come back, come back come back you not really rich, got the bomb pack bomb dive in the water, have fun with that dive i might put a daughter or son in that i might i bought you a ring and five hundred racks hey she like the triangle balenci bag drip you know you an angel, come save the bad angel if you really love me then take me back j balvin, man yo sé que nuestro amor es periódico de ayer ¿tú crees que es fácil mirarte a la cara y que me diga: yo no, no te conozco? pues, tá to bien tarde o temprano el karma a ti te va a caer, vas a volver so-so-solita, yo sé que vas a caer va a volver a llamarme pa que te lo vuelva a hacer ay, nena, no trate, que no me voy a envolver porque dicen, y yo creo, que lucifer es mujer y ahora dice que no me conoce, no-no-no-no-no y si me ha visto se supone que en el pasado fue yo sí me acuerdo cómo lo hacíamos cómo en la cama nos matábamos ¡uh!",S
T2_TRAIN_0007,"déjame vivir este sueño el mejor que he tenido una flor, una flor, otra flor un maestro, una causa, un efecto ¿quién sabrá el valor de tus deseos? ¿quién sabrá? gira el sol, gira el mundo, gira dios eh energía misteriosa, resplandor al soltar mi cuerpo en remolinos, resplandor otra flor paraíso, zona pura, perfección florecer mirándote a los ojos, perfección florecer mirándome a los ojos, perfección florecer los dos, florecer florecer los dos, florecer florecer eh",NR
T2_TRAIN_0008,"aventura como pasan los años, ayer éramos niños mami y papi luchaban por nuestro porvenir tú cuidabas de mí, hoy yo velo por ti hermanita, te adoro, sé que no eres feliz otro golpe en la cara, esto es cada semana y como siempre una excusa, ¿qué tú ganas al fin? que él se burle de ti, ¿pero qué hago yo aquí? aunque quiero ayudarte, tú lo aceptas así tú eres mi sangre, y mi meta es salvarte y rezo por ti hermanita, él no te quiere, quiere tiene como veinte mujeres, y tú lo ves te maltrata, luego tú lo defiendes dale mente, no te conviene, ¿qué no lo ves? lloras, cada vez que te pega lloras, me da rabia y pena lloras, cómo siento tu temor lloras, en sus manos puedes morir lloras, ese hombre te hace sufrir lloras, él te hizo ese moretón lloras, cuando escupe tu cara lloras, y con malas palabras lloras, él se siente superior ese hombre es un animal un cobarde sin dignidad por pegarle a una mujer él no es digno de que tanto lo ames piensa bien, tú eres la culpable y tú lo ves ladies, keep your head up come on! ill back mis sobrinos no deben ver su mami correr en tu casa hay un monstruo y tú duermes con él anda y cuenta las horas que te ha hecho feliz luego cuenta los años que te ha hecho sufrir yo no soporto ver mi hermana llorando, ese hombre es una rata no existe hombre que pueda obligarte a estar con él, puedes alejarte, ¿que no lo ves? no es respeto, lo que yo veo es miedo tú le temes a ese perro, ¿qué no lo ves? lloras, cuando llega a la casa lloras, como un perro borracho lloras, y te pega sin razón lloras, y los niños sólo lo ven lloras, y le gritan daddy, no! lloras, no le pegues otra vez lloras, ese tipo te humilla lloras, y te habla mentiras lloras, él no tiene corazón debería mejor cambiar que me venga a mí a pegar yo lo pongo en su lugar we know better lala, i love you your little brother got your back romeo",V
T2_TRAIN_0009,"r corazon como quisiera olvidarte, pero mi vida no puedo porque naciste para mi. que dolor que pena llevo en el alma despues que te lo di todo, te olvidaste de mi. si yo pudiera olvidarme de ti, se que algun dia te acordaras de mi porque fui bueno yo fui todo para ti y la conciencia te matara sabes bien no te dejaban salir, porque tu eras muy ninay te enamoraste de mi, corazon recordare para siempre aquellos dias felices que me hicistes vivir. yo pense que te hiba hacer muy feliz, despues que te lo di todo y te burlaste de mi. si yo pudiera olvidarme de ti se que algun dia te acordaras de mi porque fui bueno, yo fui todo para ti y la conciencia te matara te matara, porque te amo mi amor te matara, porque te quiero mi cielo te matara, porque te quiero mi amor te matara te matara te matara te matara, porque te quiero mi amor te matara, porque te amo mi amor te matara, porque te quiero te matara, porque te amo mi amorrr",V
T2_TRAIN_0010,"o ¿cuántas veces te dije llorando? no juegues conmigo, ni me eches mentiras porque vas a quedarte en la calle tirada y perdida, vendiendo tu vida yo te dije: piensa en lo que dices ¿no ves que la vida es como un columpio? cuando sube, se siente bonito pero cuando baja, eso duele mucho ya lo ves hoy te encuentras perdida, vendiendo tu vida y yo muy contento quiera dios que tu cuerpo se seque y que de repente se lo lleve el viento no es que tenga yo odio contigo y quiera desearte ya tu mala suerte pero sí viviré agradecido si estos momentos me lleve la muerte ya lo ves hoy te encuentras perdida, vendiendo tu vida y yo muy contento quiera dios que tu cuerpo se seque y que de repente se lo lleve el viento",V
